FeatureGroupIndex	FileName	MonoisotopicMass	AverageMass	StartRetentionTime(FWHM)	EndRetentionTime(FWHM)	HighestApexRetentionTime	MedianApexRetentionTime	FeatureGroupQuantity	AllAreaUnderTheCurve	SumIntensity	MinCharge	MaxCharge	ChargeCount	MostAbundantFeatureCharge	IsotopeCosineScore
1303	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7186.228616	7190.710769	1127.180393	1242.500070	1153.749066	1161.367107	32543217.213192	38281307.407707	36382862.108066	7	14	8	10	0.960934
1304	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7185.227213	7189.709366	1185.005228	1307.494303	1276.878388	1230.989782	21219879.717910	22198023.359479	21962760.038957	7	14	8	11	0.968529
1305	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6330.551768	6334.441218	2941.082109	2982.549429	2956.250310	2965.984720	18882707.853980	18882707.853980	18882711.853980	8	10	3	10	0.879440
1306	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6265.608834	6269.472512	1049.151497	1131.034353	1072.865115	1080.652858	19986950.074692	22314602.665343	21878157.589672	6	14	9	9	0.994029
1307	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8540.721931	8546.006760	1045.213545	1104.025334	1072.865115	1076.751521	8646536.484284	9435556.523569	8454688.648684	9	17	9	11	0.975539
1308	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7475.327435	7479.973311	1057.048109	1146.468096	1115.630792	1107.906177	8376808.626676	8416224.836940	8400626.392416	7	15	9	10	0.982526
1309	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4360.435941	4363.160762	991.135575	1076.751521	1018.138411	1029.730671	3610506.815783	4766279.644731	4766293.644731	5	9	5	7	0.926092
1310	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4359.434688	4362.159509	1041.289891	1142.629349	1119.484110	1119.484110	2584134.761101	2584134.761101	2497153.045054	5	10	6	7	0.935527
1311	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	5807.179606	5810.774837	2125.761557	2173.239089	2150.016280	2150.016280	20921658.729961	22570264.822525	22570279.822525	6	9	4	8	0.908032
1312	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	5583.341057	5586.784167	6074.125872	6112.505546	6108.920617	6100.960621	30000122.645013	37517717.138549	37517733.138549	8	11	4	9	0.961826
1313	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8444.652393	8449.882205	1142.629349	1219.499381	1181.183883	1181.183883	27278905.865820	32919734.240445	32919792.240445	9	17	9	12	0.978881
1314	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6789.058764	6793.324918	6336.462736	6403.973741	6368.840378	6368.840378	4189365.316949	4820737.056762	4820756.056762	8	13	6	10	0.853659
1315	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	9161.765000	9167.419517	1766.377763	1809.633501	1789.585355	1789.585355	83490451.860989	86952885.441270	86590351.241718	9	18	10	15	0.988056
1316	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4311.409206	4314.108304	1766.377763	1800.938730	1785.851463	1785.851463	4893724.833932	5045512.403776	5041878.208674	6	8	3	6	0.877404
1317	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8935.072202	8940.598505	2081.726921	2109.123069	2089.120016	2089.120016	21160647.101253	21724780.850147	21724793.850147	11	13	3	13	0.875673
1318	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	10664.498934	10671.168787	2395.516405	2436.068067	2415.590519	2415.590519	25084006.991374	25084006.991374	25084022.991374	12	14	3	13	0.898385
1319	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7991.800019	7996.777369	1642.228163	1696.010337	1664.231099	1667.859551	23645644.225122	24030645.944765	24030660.944765	6	9	4	7	0.890123
1320	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7919.339097	7924.267719	1311.320145	1387.951653	1342.009337	1345.835167	157365126.691817	162733412.387161	162733491.387161	7	14	8	11	0.985164
1321	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7108.253833	7112.696541	6768.691310	6870.317029	6788.783589	6829.381152	1144876.539779	1201772.295168	1201808.295168	9	14	6	12	0.929621
1322	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	8865.711448	8871.211682	1142.629349	1196.478157	1157.838386	1157.838386	46478969.200991	55845197.505585	55845232.505585	7	12	6	9	0.979298
